cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Ljubljana,SI,14.49,14.5,13.63,15.31,96,chuva moderada,1758730944
Lima,PE,18.14,18.02,18.14,18.14,77,céu limpo,1758730897
Banjul,GM,25.18,26.36,25.18,25.18,100,nublado,1758730947
Papeetē,PF,22.96,23.77,22.73,22.96,94,chuva leve,1758730948
Tashkent,UZ,20.97,20.17,20.97,20.97,40,céu limpo,1758730949
Vilnius,LT,10.79,9.54,10.08,11.49,62,céu limpo,1758730857
Dhaka,BD,27.99,33.54,27.99,27.99,89,neblina,1758730753
Chișinău,MD,23.29,23.74,19.24,23.29,79,céu limpo,1758730679
Moroni,KM,24.22,24.73,24.22,24.22,78,chuva leve,1758730955
Sofia,BG,24.88,24.29,24.88,25.83,33,nuvens dispersas,1758730956
Douglas,IM,14.88,14.17,14.88,14.88,67,algumas nuvens,1758730958
Stockholm,SE,12.43,11.32,11.81,13.36,61,algumas nuvens,1758730770
Ramallah,PS,21.44,21.78,21.44,21.44,82,céu limpo,1758730962
Bangui,CF,28.1,31.43,28.1,28.1,74,trovoadas,1758730964
Bogotá,CO,16.56,15.71,16.38,17.73,55,nublado,1758730705
Nairobi,KE,21.89,21.18,21.89,21.89,40,nublado,1758730858
Juba,SS,25.72,26.23,25.72,25.72,72,nublado,1758730969
Brussels,BE,14.31,13.36,13.43,14.88,60,algumas nuvens,1758730743
Sucre,BO,16.13,14.95,16.13,16.13,44,nuvens dispersas,1758730974
Tokyo,JP,21.69,21.79,20.37,22.02,72,nuvens dispersas,1758730866
Nicosia,CY,27.83,28.35,27.83,27.83,51,céu limpo,1758730977
Tbilisi,GE,17.84,17.12,17.84,17.84,55,céu limpo,1758730978
Baghdad,IQ,30.95,28.92,30.95,30.95,16,céu limpo,1758730733
Ouagadougou,BF,31.07,36.61,31.07,31.07,66,algumas nuvens,1758730981
Stanley,FK,6.86,3.6,6.86,6.86,70,algumas nuvens,1758730982
Mbabane,SZ,14.28,14.14,14.28,14.28,91,chuva leve,1758730984
Fort-de-France,MQ,29.97,35.96,29.97,29.97,74,chuva leve,1758730985
Victoria,SC,25.59,26.24,25.59,25.59,78,nuvens dispersas,1758730987
Gitega,BI,21.21,20.77,21.21,21.21,53,nublado,1758730988
Sarajevo,BA,15.95,16.06,15.95,15.95,94,chuva forte,1758730989
Palikir,FM,25.87,26.86,25.41,26.63,90,nublado,1758730991
Asmara,ER,18.54,18.09,18.54,18.54,63,nuvens dispersas,1758730992
Reykjavik,IS,10.81,9.67,10.5,10.81,66,chuviscos com intensidade de raios,1758730977
Lisbon,PT,26.18,26.18,25.32,28.3,31,céu limpo,1758730841
Dodoma,TZ,26.15,26.15,26.15,26.15,32,nuvens dispersas,1758731000
Saint-Denis,RE,22.1,22.14,22.1,22.1,68,algumas nuvens,1758731001
Pretoria,ZA,23.06,22.62,22.4,23.06,46,nublado,1758730961
Malabo,GQ,25.92,27.02,25.92,25.92,94,nublado,1758731005
Bamako,ML,32.23,36.12,32.23,32.23,55,trovoadas,1758731008
Caracas,VE,30.72,37.72,30.72,30.72,74,chuva leve,1758730716
Majuro,MH,27.98,31.75,27.98,27.98,78,chuva leve,1758731011
Honiara,SB,24.75,25.58,24.75,24.75,88,nublado,1758731012
